,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,2,1,1.0,1.5999999999999999,1,billboard_image_1,commercial_2_burger_neu
1,0.0,2.0,2,3,2,2.0,3.0299999999999976,2,billboard_image_2,health_5_text_driving_emo
2,0.0,3.0,3,3,3,3.0,3.980000000000004,3,billboard_image_3,health_11_vaping_neu
3,0.0,4.0,4,2,4,4.0,2.9200000000000017,4,billboard_image_4,health_8_sun_protection_emo
4,0.0,5.0,5,4,5,5.0,5.3899999999999935,5,billboard_image_5,commercial_1_brunch_neu
5,0.0,6.0,6,3,6,6.0,2.75,6,billboard_image_6,health_1_binge_drinking_neu
6,0.0,7.0,7,5,7,7.0,2.9200000000000017,7,billboard_image_7,health_9_wash_hands_neu
7,0.0,8.0,8,6,8,8.0,2.5999999999999943,8,billboard_image_8,health_13_tech_addiction_emo
8,0.0,9.0,9,2,9,9.0,2.7900000000000063,9,billboard_image_9,commercial_4_education_donation_emo
9,0.0,10.0,10,3,10,10.0,4.300000000000026,10,billboard_image_10,commercial_3_coffee_emo
10,0.0,11.0,11,6,11,11.0,2.759999999999991,11,billboard_image_11,health_2_buckle_up_neu
11,0.0,12.0,12,3,12,12.0,3.660000000000025,12,billboard_image_12,commercial_5_furniture_neu
12,0.0,13.0,13,2,13,13.0,3.280000000000001,13,billboard_image_13,health_4_HIV_neu
13,0.0,14.0,14,4,14,14.0,1.849999999999966,14,billboard_image_14,health_6_drugged_driving_emo
14,0.0,15.0,15,4,15,15.0,2.099999999999966,15,billboard_image_15,health_12_marijuana_emo
15,0.0,16.0,16,5,16,16.0,1.6800000000000068,16,billboard_image_16,health_10_vaccination_emo
16,0.0,17.0,17,4,17,17.0,3.560000000000059,17,billboard_image_17,health_14_healthy_diet_emo
17,0.0,18.0,18,1,18,18.0,3.730000000000018,18,billboard_image_18,commercial_6_hotel_neu
18,0.0,19.0,19,5,19,19.0,2.7200000000000273,19,billboard_image_19,health_7_smoking_neu
19,0.0,20.0,20,2,20,20.0,1.579999999999984,20,billboard_image_20,health_3_diabetes_emo
