,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,3,1,1.0,4.16,1,billboard_image_1,health_12_marijuana_neu
1,0.0,2.0,2,5,2,2.0,4.330000000000002,2,billboard_image_2,health_13_tech_addiction_neu
2,0.0,3.0,3,2,3,3.0,5.219999999999995,3,billboard_image_3,commercial_4_education_donation_neu
3,0.0,4.0,4,3,4,4.0,2.3499999999999943,4,billboard_image_4,health_6_drugged_driving_neu
4,0.0,5.0,5,6,5,5.0,5.210000000000015,5,billboard_image_5,health_4_HIV_emo
5,0.0,6.0,6,4,6,6.0,2.5799999999999983,6,billboard_image_6,commercial_6_hotel_neu
6,0.0,7.0,7,3,7,7.0,2.6500000000000057,7,billboard_image_7,health_9_wash_hands_neu
7,0.0,8.0,8,2,8,8.0,3.4199999999999875,8,billboard_image_8,health_14_healthy_diet_neu
8,0.0,9.0,9,5,9,9.0,4.089999999999989,9,billboard_image_9,health_3_diabetes_emo
9,0.0,10.0,10,3,10,10.0,5.4900000000000375,10,billboard_image_10,commercial_2_burger_emo
10,0.0,11.0,11,3,11,11.0,4.710000000000036,11,billboard_image_11,health_11_vaping_neu
11,0.0,12.0,12,3,12,12.0,4.100000000000023,12,billboard_image_12,commercial_5_furniture_neu
12,0.0,13.0,13,1,13,13.0,3.8899999999999864,13,billboard_image_13,health_2_buckle_up_neu
13,0.0,14.0,14,2,14,14.0,3.1899999999999977,14,billboard_image_14,health_5_text_driving_emo
14,0.0,15.0,15,4,15,15.0,4.599999999999994,15,billboard_image_15,commercial_1_brunch_emo
15,0.0,16.0,16,2,16,16.0,4.440000000000026,16,billboard_image_16,health_7_smoking_emo
16,0.0,17.0,17,3,17,17.0,1.8400000000000318,17,billboard_image_17,health_8_sun_protection_emo
17,0.0,18.0,18,6,18,18.0,4.569999999999993,18,billboard_image_18,health_1_binge_drinking_emo
18,0.0,19.0,19,3,19,19.0,2.6500000000000057,19,billboard_image_19,health_10_vaccination_emo
19,0.0,20.0,20,4,20,20.0,4.670000000000016,20,billboard_image_20,commercial_3_coffee_emo
