,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,2,1,1.0,2.8200000000000003,1,billboard_image_1,health_7_smoking_neu
1,0.0,2.0,2,4,2,2.0,3.9099999999999966,2,billboard_image_2,health_8_sun_protection_emo
2,0.0,3.0,3,5,3,3.0,3.9700000000000024,3,billboard_image_3,health_11_vaping_neu
3,0.0,4.0,4,4,4,4.0,2.25,4,billboard_image_4,commercial_3_coffee_emo
4,0.0,5.0,5,2,5,5.0,1.3000000000000043,5,billboard_image_5,health_9_wash_hands_emo
5,0.0,6.0,6,2,6,6.0,4.200000000000003,6,billboard_image_6,commercial_5_furniture_neu
6,0.0,7.0,7,2,7,7.0,3.3799999999999955,7,billboard_image_7,commercial_6_hotel_emo
7,0.0,8.0,8,3,8,8.0,3.4799999999999898,8,billboard_image_8,health_12_marijuana_neu
8,0.0,9.0,9,2,9,9.0,2.049999999999997,9,billboard_image_9,health_14_healthy_diet_neu
9,0.0,10.0,10,4,10,10.0,2.1899999999999977,10,billboard_image_10,health_13_tech_addiction_neu
10,0.0,11.0,11,4,11,11.0,3.109999999999957,11,billboard_image_11,commercial_4_education_donation_neu
11,0.0,12.0,12,5,12,12.0,3.5700000000000216,12,billboard_image_12,commercial_1_brunch_emo
12,0.0,13.0,13,4,13,13.0,4.2400000000000375,13,billboard_image_13,health_2_buckle_up_emo
13,0.0,14.0,14,3,14,14.0,4.3700000000000045,14,billboard_image_14,health_4_HIV_emo
14,0.0,15.0,15,2,15,15.0,1.5699999999999932,15,billboard_image_15,health_3_diabetes_emo
15,0.0,16.0,16,3,16,16.0,2.230000000000018,16,billboard_image_16,health_1_binge_drinking_neu
16,0.0,17.0,17,1,17,17.0,0.339999999999975,17,billboard_image_17,health_10_vaccination_neu
17,0.0,18.0,18,3,18,18.0,1.1799999999999784,18,billboard_image_18,health_5_text_driving_emo
18,0.0,19.0,19,3,19,19.0,1.9599999999999795,19,billboard_image_19,health_6_drugged_driving_neu
19,0.0,20.0,20,2,20,20.0,2.1499999999999773,20,billboard_image_20,commercial_2_burger_emo
