,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,billboard_image_1,health_3_diabetes_emo
1,0.0,2.0,2.0,3.0,2.0,2.0,3.6000000000000014,2,billboard_image_2,health_7_smoking_emo
2,0.0,3.0,3.0,4.0,3.0,3.0,3.010000000000005,3,billboard_image_3,commercial_3_coffee_emo
3,0.0,4.0,4.0,5.0,4.0,4.0,3.1099999999999994,4,billboard_image_4,commercial_6_hotel_emo
4,0.0,5.0,5.0,2.0,5.0,5.0,1.0400000000000063,5,billboard_image_5,health_6_drugged_driving_neu
5,0.0,6.0,6.0,4.0,6.0,6.0,3.8100000000000023,6,billboard_image_6,commercial_4_education_donation_emo
6,0.0,7.0,7.0,2.0,7.0,7.0,3.8100000000000023,7,billboard_image_7,health_11_vaping_emo
7,0.0,8.0,8.0,2.0,8.0,8.0,3.069999999999993,8,billboard_image_8,health_14_healthy_diet_neu
8,0.0,9.0,9.0,4.0,9.0,9.0,2.8100000000000023,9,billboard_image_9,health_1_binge_drinking_neu
9,0.0,10.0,10.0,2.0,10.0,10.0,2.6999999999999886,10,billboard_image_10,health_8_sun_protection_emo
10,0.0,11.0,11.0,3.0,11.0,11.0,3.549999999999983,11,billboard_image_11,commercial_1_brunch_neu
11,0.0,12.0,12.0,2.0,12.0,12.0,1.6099999999999852,12,billboard_image_12,health_13_tech_addiction_emo
12,0.0,13.0,13.0,4.0,13.0,13.0,1.8900000000000148,13,billboard_image_13,health_10_vaccination_neu
13,0.0,14.0,14.0,2.0,14.0,14.0,1.339999999999975,14,billboard_image_14,commercial_2_burger_neu
14,0.0,15.0,15.0,3.0,15.0,15.0,4.279999999999973,15,billboard_image_15,health_4_HIV_emo
15,0.0,16.0,16.0,3.0,16.0,16.0,2.3799999999999955,16,billboard_image_16,commercial_5_furniture_neu
16,0.0,17.0,17.0,3.0,17.0,17.0,2.5,17,billboard_image_17,health_12_marijuana_neu
17,0.0,18.0,18.0,3.0,18.0,18.0,2.329999999999984,18,billboard_image_18,health_5_text_driving_emo
18,0.0,19.0,19.0,2.0,19.0,19.0,1.2100000000000364,19,billboard_image_19,health_2_buckle_up_neu
19,0.0,20.0,0.0,0.0,0.0,20.0,0.0,20,billboard_image_20,health_9_wash_hands_neu
