,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1.0,1.0,1.0,1.0,0.9299999999999997,1,billboard_image_1,commercial_3_coffee_emo
1,0.0,2.0,2.0,4.0,2.0,2.0,5.860000000000001,2,billboard_image_2,health_14_healthy_diet_neu
2,0.0,3.0,3.0,4.0,3.0,3.0,3.1899999999999977,3,billboard_image_3,commercial_4_education_donation_emo
3,0.0,4.0,4.0,3.0,4.0,4.0,1.509999999999998,4,billboard_image_4,commercial_2_burger_emo
4,0.0,5.0,5.0,3.0,5.0,5.0,1.6199999999999903,5,billboard_image_5,health_12_marijuana_emo
5,0.0,6.0,6.0,4.0,6.0,6.0,3.8300000000000125,6,billboard_image_6,commercial_6_hotel_neu
6,0.0,7.0,7.0,1.0,7.0,7.0,0.9399999999999977,7,billboard_image_7,health_2_buckle_up_neu
7,0.0,8.0,8.0,2.0,8.0,8.0,2.6799999999999926,8,billboard_image_8,health_11_vaping_neu
8,0.0,9.0,9.0,3.0,9.0,9.0,1.8800000000000097,9,billboard_image_9,health_3_diabetes_neu
9,0.0,10.0,10.0,5.0,10.0,10.0,2.9199999999999733,10,billboard_image_10,health_10_vaccination_neu
10,0.0,11.0,11.0,2.0,11.0,11.0,3.9099999999999966,11,billboard_image_11,commercial_5_furniture_emo
11,0.0,12.0,12.0,3.0,12.0,12.0,3.4699999999999704,12,billboard_image_12,commercial_1_brunch_neu
12,0.0,13.0,13.0,4.0,13.0,13.0,3.009999999999991,13,billboard_image_13,health_8_sun_protection_emo
13,0.0,14.0,14.0,3.0,14.0,14.0,2.690000000000026,14,billboard_image_14,health_9_wash_hands_emo
14,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15,billboard_image_15,health_13_tech_addiction_emo
15,0.0,16.0,16.0,3.0,16.0,16.0,1.4699999999999989,16,billboard_image_16,health_6_drugged_driving_neu
16,0.0,17.0,17.0,6.0,17.0,17.0,3.2500000000000284,17,billboard_image_17,health_5_text_driving_emo
17,0.0,18.0,18.0,1.0,18.0,18.0,2.7099999999999795,18,billboard_image_18,health_1_binge_drinking_neu
18,0.0,19.0,19.0,2.0,19.0,19.0,0.8599999999999852,19,billboard_image_19,health_7_smoking_neu
19,0.0,20.0,20.0,3.0,20.0,20.0,4.079999999999984,20,billboard_image_20,health_4_HIV_emo
