,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1.0,1.0,1.0,1.0,0.8700000000000001,1,billboard_image_1,commercial_2_burger_neu
1,0.0,2.0,2.0,1.0,2.0,2.0,2.5199999999999996,2,billboard_image_2,health_13_tech_addiction_emo
2,0.0,3.0,3.0,1.0,3.0,3.0,0.9499999999999957,3,billboard_image_3,health_5_text_driving_neu
3,0.0,4.0,4.0,1.0,4.0,4.0,2.1300000000000026,4,billboard_image_4,commercial_4_education_donation_emo
4,0.0,5.0,5.0,2.0,5.0,5.0,1.8599999999999994,5,billboard_image_5,health_11_vaping_emo
5,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6,billboard_image_6,health_6_drugged_driving_emo
6,0.0,7.0,0.0,0.0,0.0,7.0,0.0,7,billboard_image_7,health_3_diabetes_emo
7,0.0,8.0,8.0,2.0,8.0,8.0,1.6800000000000068,8,billboard_image_8,health_12_marijuana_neu
8,0.0,9.0,0.0,0.0,0.0,9.0,0.0,9,billboard_image_9,health_9_wash_hands_neu
9,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10,billboard_image_10,health_1_binge_drinking_neu
10,0.0,11.0,0.0,0.0,0.0,11.0,0.0,11,billboard_image_11,health_10_vaccination_emo
11,0.0,12.0,0.0,0.0,0.0,12.0,0.0,12,billboard_image_12,health_2_buckle_up_emo
12,0.0,13.0,0.0,0.0,0.0,13.0,0.0,13,billboard_image_13,health_7_smoking_neu
13,0.0,14.0,14.0,2.0,14.0,14.0,1.2600000000000193,14,billboard_image_14,health_14_healthy_diet_neu
14,0.0,15.0,15.0,1.0,15.0,15.0,1.9300000000000068,15,billboard_image_15,commercial_3_coffee_emo
15,0.0,16.0,0.0,0.0,0.0,16.0,0.0,16,billboard_image_16,health_4_HIV_neu
16,0.0,17.0,17.0,1.0,17.0,17.0,1.7800000000000011,17,billboard_image_17,commercial_5_furniture_emo
17,0.0,18.0,18.0,1.0,18.0,18.0,0.8599999999999852,18,billboard_image_18,health_8_sun_protection_neu
18,0.0,19.0,19.0,2.0,19.0,19.0,1.200000000000017,19,billboard_image_19,commercial_6_hotel_emo
19,0.0,20.0,20.0,1.0,20.0,20.0,1.5200000000000387,20,billboard_image_20,commercial_1_brunch_neu
