,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1.0,1.0,1.0,1.0,0.5300000000000002,1,billboard_image_1,commercial_3_coffee_neu
1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2,billboard_image_2,health_3_diabetes_neu
2,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3,billboard_image_3,health_10_vaccination_emo
3,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4,billboard_image_4,commercial_2_burger_neu
4,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5,billboard_image_5,health_1_binge_drinking_emo
5,0.0,6.0,6.0,1.0,6.0,6.0,0.4200000000000017,6,billboard_image_6,health_7_smoking_emo
6,0.0,7.0,7.0,1.0,7.0,7.0,0.29000000000000625,7,billboard_image_7,commercial_5_furniture_neu
7,0.0,8.0,8.0,1.0,8.0,8.0,0.46999999999999886,8,billboard_image_8,health_9_wash_hands_neu
8,0.0,9.0,9.0,2.0,9.0,9.0,0.7799999999999869,9,billboard_image_9,health_12_marijuana_emo
9,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10,billboard_image_10,health_2_buckle_up_emo
10,0.0,11.0,0.0,0.0,0.0,11.0,0.0,11,billboard_image_11,commercial_1_brunch_neu
11,0.0,12.0,12.0,1.0,12.0,12.0,0.9000000000000057,12,billboard_image_12,health_14_healthy_diet_emo
12,0.0,13.0,13.0,1.0,13.0,13.0,0.3299999999999841,13,billboard_image_13,health_4_HIV_neu
13,0.0,14.0,14.0,2.0,14.0,14.0,1.0300000000000011,14,billboard_image_14,commercial_4_education_donation_neu
14,0.0,15.0,15.0,1.0,15.0,15.0,0.29000000000002046,15,billboard_image_15,health_13_tech_addiction_neu
15,0.0,16.0,0.0,0.0,0.0,16.0,0.0,16,billboard_image_16,commercial_6_hotel_emo
16,0.0,17.0,0.0,0.0,0.0,17.0,0.0,17,billboard_image_17,health_11_vaping_emo
17,0.0,18.0,0.0,0.0,0.0,18.0,0.0,18,billboard_image_18,health_8_sun_protection_neu
18,0.0,19.0,0.0,0.0,0.0,19.0,0.0,19,billboard_image_19,health_5_text_driving_emo
19,0.0,20.0,0.0,0.0,0.0,20.0,0.0,20,billboard_image_20,health_6_drugged_driving_emo
