,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,4,1,1.0,4.210000000000001,1,billboard_image_1,health_3_diabetes_neu
1,0.0,2.0,2,5,2,2.0,3.299999999999997,2,billboard_image_2,health_7_smoking_neu
2,0.0,3.0,3,5,3,3.0,4.880000000000013,3,billboard_image_3,commercial_3_coffee_neu
3,0.0,4.0,4,2,4,4.0,4.57,4,billboard_image_4,commercial_6_hotel_neu
4,0.0,5.0,5,2,5,5.0,2.5800000000000125,5,billboard_image_5,health_6_drugged_driving_emo
5,0.0,6.0,6,4,6,6.0,4.530000000000001,6,billboard_image_6,commercial_4_education_donation_neu
6,0.0,7.0,7,3,7,7.0,7.090000000000003,7,billboard_image_7,health_11_vaping_neu
7,0.0,8.0,8,8,8,8.0,5.719999999999985,8,billboard_image_8,health_14_healthy_diet_emo
8,0.0,9.0,9,4,9,9.0,4.599999999999994,9,billboard_image_9,health_1_binge_drinking_emo
9,0.0,10.0,10,5,10,10.0,6.2400000000000375,10,billboard_image_10,health_8_sun_protection_neu
10,0.0,11.0,11,7,11,11.0,6.330000000000041,11,billboard_image_11,commercial_1_brunch_emo
11,0.0,12.0,12,1,12,12.0,5.560000000000002,12,billboard_image_12,health_13_tech_addiction_neu
12,0.0,13.0,13,3,13,13.0,5.090000000000032,13,billboard_image_13,health_10_vaccination_emo
13,0.0,14.0,14,3,14,14.0,2.009999999999991,14,billboard_image_14,commercial_2_burger_emo
14,0.0,15.0,15,2,15,15.0,3.990000000000009,15,billboard_image_15,health_4_HIV_neu
15,0.0,16.0,16,3,16,16.0,3.700000000000017,16,billboard_image_16,commercial_5_furniture_emo
16,0.0,17.0,17,4,17,17.0,4.759999999999991,17,billboard_image_17,health_12_marijuana_emo
17,0.0,18.0,18,2,18,18.0,3.569999999999993,18,billboard_image_18,health_5_text_driving_neu
18,0.0,19.0,19,6,19,19.0,4.080000000000041,19,billboard_image_19,health_2_buckle_up_emo
19,0.0,20.0,20,2,20,20.0,0.6400000000000432,20,billboard_image_20,health_9_wash_hands_emo
