,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,diabetes,1.0,0.0
1,2,text_driving,0.0,0.0
2,3,vaccination,0.0,0.0
3,4,drugged_driving,0.0,0.0
4,5,smoking,0.0,0.0
5,6,buckle_up,0.0,0.0
6,7,coffee,0.0,0.0
7,9,burger,9.0,0.0
8,10,furniture,0.0,0.0
9,11,brunch,0.0,0.0
10,12,sun_protection,0.0,0.0
11,13,binge_drinking,0.0,0.0
12,14,marijuana,0.0,0.0
13,15,healthy_diet,0.0,0.0
14,16,wash_hands,0.0,0.0
15,17,hotel,0.0,0.0
16,18,education_donation,0.0,0.0
17,19,tech_addiction,0.0,0.0
18,20,vaping,20.0,0.0
