,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,smoking,1.0,0.0
1,2,education_donation,0.0,0.0
2,3,brunch,0.0,0.0
3,4,wash_hands,0.0,0.0
4,5,hotel,0.0,0.0
5,7,healthy_diet,0.0,0.0
6,8,tech_addiction,0.0,0.0
7,9,vaping,0.0,1.0
8,10,text_driving,0.0,0.0
9,11,marijuana,11.0,1.0
10,12,vaccination,0.0,0.0
11,13,buckle_up,0.0,1.0
12,14,sun_protection,0.0,0.0
13,15,diabetes,0.0,0.0
14,16,binge_drinking,0.0,0.0
15,17,coffee,0.0,0.0
16,18,furniture,18.0,1.0
17,19,drugged_driving,0.0,0.0
18,20,burger,0.0,0.0
