,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,hotel,0.0,0
1,2,tech_addiction,0.0,0
2,3,vaping,3.0,0
3,4,sun_protection,4.0,0
4,5,marijuana,5.0,0
5,6,HIV,6.0,0
6,7,brunch,7.0,0
7,8,coffee,8.0,0
8,9,furniture,9.0,0
9,10,burger,10.0,0
10,11,education_donation,11.0,1
11,12,drugged_driving,12.0,1
12,13,binge_drinking,13.0,0
13,14,vaccination,14.0,0
14,15,buckle_up,15.0,0
15,16,wash_hands,16.0,0
16,17,text_driving,17.0,0
17,18,diabetes,18.0,0
18,19,smoking,19.0,1
19,20,healthy_diet,20.0,0
