,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,smoking,1.0,0.0
1,2,sun_protection,2.0,0.0
2,3,vaping,3.0,0.0
3,4,coffee,4.0,0.0
4,5,wash_hands,5.0,0.0
5,6,furniture,6.0,0.0
6,7,hotel,7.0,0.0
7,8,marijuana,8.0,1.0
8,9,healthy_diet,9.0,0.0
9,10,tech_addiction,10.0,0.0
10,11,education_donation,11.0,0.0
11,12,brunch,12.0,1.0
12,13,buckle_up,13.0,0.0
13,15,diabetes,0.0,0.0
14,16,binge_drinking,16.0,0.0
15,17,vaccination,17.0,0.0
16,18,text_driving,18.0,1.0
17,19,drugged_driving,19.0,1.0
18,20,burger,20.0,1.0
