,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,burger,0.0,0
1,2,text_driving,0.0,0
2,3,vaping,3.0,0
3,4,sun_protection,4.0,0
4,5,brunch,5.0,0
5,6,binge_drinking,6.0,1
6,7,wash_hands,7.0,0
7,8,tech_addiction,8.0,0
8,9,education_donation,9.0,0
9,10,coffee,10.0,0
10,11,buckle_up,11.0,1
11,12,furniture,12.0,0
12,13,HIV,13.0,0
13,14,drugged_driving,14.0,0
14,15,marijuana,15.0,0
15,16,vaccination,0.0,0
16,17,healthy_diet,17.0,0
17,18,hotel,0.0,0
18,19,smoking,19.0,0
19,20,diabetes,0.0,0
