,position_index,billboard_image_at_position_text,fix_bill,recall
0,2,drugged_driving,0.0,0.0
1,3,sun_protection,3.0,0.0
2,4,education_donation,4.0,0.0
3,5,buckle_up,5.0,0.0
4,6,diabetes,6.0,0.0
5,7,tech_addiction,7.0,0.0
6,8,wash_hands,8.0,0.0
7,9,coffee,9.0,0.0
8,10,furniture,10.0,0.0
9,11,vaccination,11.0,0.0
10,12,binge_drinking,12.0,1.0
11,13,healthy_diet,13.0,0.0
12,14,burger,14.0,0.0
13,15,hotel,15.0,0.0
14,16,brunch,16.0,1.0
15,17,smoking,17.0,1.0
16,18,text_driving,18.0,0.0
17,19,marijuana,19.0,1.0
18,20,vaping,20.0,1.0
