,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,diabetes,0.0,0.0
1,2,smoking,2.0,0.0
2,3,coffee,3.0,0.0
3,4,hotel,4.0,0.0
4,5,drugged_driving,5.0,0.0
5,6,education_donation,6.0,0.0
6,7,vaping,7.0,0.0
7,8,healthy_diet,8.0,0.0
8,9,binge_drinking,9.0,1.0
9,10,sun_protection,10.0,0.0
10,11,brunch,11.0,0.0
11,12,tech_addiction,12.0,0.0
12,13,vaccination,13.0,0.0
13,14,burger,14.0,1.0
14,16,furniture,16.0,0.0
15,17,marijuana,17.0,1.0
16,18,text_driving,18.0,1.0
17,19,buckle_up,19.0,0.0
18,20,wash_hands,0.0,0.0
