,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,diabetes,1.0,0.0
1,2,text_driving,2.0,0.0
2,3,vaccination,3.0,0.0
3,4,drugged_driving,0.0,1.0
4,5,smoking,5.0,0.0
5,6,buckle_up,0.0,0.0
6,7,coffee,7.0,0.0
7,9,burger,9.0,0.0
8,10,furniture,10.0,0.0
9,11,brunch,11.0,0.0
10,12,sun_protection,12.0,0.0
11,13,binge_drinking,13.0,0.0
12,14,marijuana,14.0,1.0
13,15,healthy_diet,0.0,1.0
14,16,wash_hands,16.0,0.0
15,17,hotel,17.0,0.0
16,18,education_donation,18.0,1.0
17,19,tech_addiction,19.0,0.0
18,20,vaping,20.0,1.0
