,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,binge_drinking,0.0,0.0
1,2,smoking,2.0,1.0
2,3,healthy_diet,3.0,0.0
3,4,diabetes,0.0,0.0
4,5,drugged_driving,5.0,1.0
5,7,text_driving,7.0,0.0
6,8,marijuana,0.0,0.0
7,9,vaccination,9.0,0.0
8,10,vaping,10.0,1.0
9,11,buckle_up,11.0,0.0
10,12,coffee,0.0,0.0
11,13,furniture,0.0,0.0
12,14,education_donation,14.0,0.0
13,15,tech_addiction,0.0,0.0
14,16,wash_hands,0.0,0.0
15,17,hotel,0.0,0.0
16,18,brunch,0.0,0.0
17,19,burger,19.0,0.0
18,20,sun_protection,0.0,0.0
