,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,coffee,1.0,1.0
1,2,diabetes,0.0,0.0
2,3,vaccination,0.0,0.0
3,4,burger,0.0,1.0
4,5,binge_drinking,0.0,0.0
5,6,smoking,6.0,0.0
6,7,furniture,7.0,0.0
7,8,wash_hands,8.0,1.0
8,9,marijuana,9.0,0.0
9,10,buckle_up,0.0,1.0
10,11,brunch,0.0,0.0
11,12,healthy_diet,12.0,0.0
12,14,education_donation,14.0,0.0
13,15,tech_addiction,15.0,0.0
14,16,hotel,0.0,0.0
15,17,vaping,0.0,0.0
16,18,sun_protection,0.0,1.0
17,19,text_driving,0.0,0.0
18,20,drugged_driving,0.0,0.0
