,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,burger,1.0,1
1,2,drugged_driving,0.0,0
2,3,marijuana,3.0,0
3,4,sun_protection,0.0,0
4,5,vaping,5.0,0
5,6,furniture,0.0,0
6,7,brunch,0.0,0
7,8,healthy_diet,8.0,0
8,9,buckle_up,9.0,0
9,10,text_driving,0.0,0
10,11,diabetes,11.0,0
11,12,tech_addiction,0.0,0
12,13,HIV,0.0,0
13,14,smoking,0.0,0
14,15,binge_drinking,0.0,0
15,16,wash_hands,0.0,0
16,17,vaccination,17.0,1
17,18,education_donation,0.0,0
18,19,hotel,0.0,0
19,20,coffee,0.0,0
