,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,smoking,1.0,0.0
1,2,education_donation,2.0,0.0
2,3,brunch,3.0,0.0
3,4,wash_hands,4.0,0.0
4,5,hotel,5.0,0.0
5,7,healthy_diet,7.0,0.0
6,8,tech_addiction,8.0,0.0
7,9,vaping,0.0,0.0
8,10,text_driving,10.0,0.0
9,11,marijuana,11.0,0.0
10,12,vaccination,0.0,0.0
11,13,buckle_up,13.0,1.0
12,14,sun_protection,14.0,0.0
13,15,diabetes,0.0,0.0
14,16,binge_drinking,16.0,0.0
15,17,coffee,17.0,0.0
16,18,furniture,0.0,0.0
17,19,drugged_driving,19.0,1.0
18,20,burger,20.0,1.0
