Participant ID,age,gender,virtual Sickness_1_discomfort,virtual Sickness_2_fatigue,virtual Sickness_3_eyestrain,virtual Sickness_4_difficultyfocusing,virtual Sickness_5_headache,virtual Sickness_6_fullnessofhead,virtual Sickness_7_blurredvision,virtual Sickness_8_dizzy,virtual Sickness_9_vertigo,spatial Presence_1_transported,spatial Presence_2_threedimensional,spatial Presence_3_realisticproportions,spatial Presence_4_movefreely,spatial Presence_5_physicallypresent,health_1_binge_drink_1,health_1_binge_drink_1,health_2_buckle_up_1,health_2_buckle_up_1,health_3_diabetes_1,health_3_diabetes_1,health_4_HIV_1,health_4_HIV_1,health_5_text_drivin_1,health_5_text_drivin_1,health_6_drugged_dri_1,health_6_drugged_dri_1,health_7_smoking_1,health_7_smoking_1,distractor_crushed ,distractor_1_1,health_8_sun_protect_1,health_8_sun_protect_1,health_9_wash_hands_1,health_9_wash_hands_1,health_10_vaccinatio_1,health_10_vaccinatio_1,health_11_vaping_1,health_11_vaping_1,distractor_climate_change,distractor_2_1,health_12_marijuana_1,health_12_marijuana_1,health_13_tech_addic_1,health_13_tech_addic_1,health_14_healthy_di_1,health_14_healthy_di_1,commercial_1_brunch_1,commercial_1_brunch_1,commercial_2_burger_1,commercial_2_burger_1,commercial_3_coffee_1,commercial_3_coffee_1,distractor_greek_salad,distractor_3_1,commercial_4_educati_1,commercial_4_educati_1,commercial_5_furnitu_1,commercial_5_furnitu_1,commercial_6_hotel_1,commercial_6_hotel_1,distractor_smart_phone,distractor_4_1,commercial_1_brunch,commercial_2_burger,commercial_3_coffee,commercial_4_educati,commercial_5_furnitu,commercial_6_hotel,health_1_binge_drink,health_2_buckle_up,health_3_diabetes,health_4_HIV,health_5_text_drivin,health_6_drugged_dri,health_7_smoking,health_8_sun_protect,health_9_wash_hands,health_10_vaccinatio,health_11_vaping,health_12_marijuana,health_13_tech_addic,health_14_healthy_di
Sub001,21,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,18,2,,2,,2,,2,,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1
Sub002,20,1,1,1,2,2,1,1,2,1,1,4,4,5,4,4,1,18,1,2,1,19,2,,1,3,1,14,1,18,2,,2,,2,,1,2,1,19,2,,2,,1,18,2,,2,,1,1,1,14,2,,1,1,2,,2,,2,,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1
sub003,,1,1,1,1,1,1,1,2,1,1,4,3,4,4,4,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,1,18,2,,2,,2,,2,,2,,2,,1,2,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,1
sub004,20,2,1,1,1,2,1,1,2,1,1,4,4,3,3,4,1,2,1,3,1,3,1,18,1,18,1,14,1,3,2,,1,18,1,2,2,,1,2,2,,2,,1,14,1,18,1,1,1,14,1,19,2,,2,,2,,1,2,2,,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1
Sub005,23,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,19,1,19,2,,1,19,1,19,1,19,2,,1,1,1,1,2,,2,,2,,1,19,1,19,1,14,1,1,1,19,1,1,1,19,1,14,2,,1,19,2,,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1
Sub006,19,2,1,1,1,2,1,1,1,1,1,4,4,4,3,3,1,1,1,19,2,,2,,1,1,1,19,1,19,2,,2,,1,19,1,1,2,,2,,1,14,1,1,2,,1,19,1,1,1,19,1,1,2,,2,,2,,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1
sub007,20,2,1,2,1,3,1,2,1,1,1,5,5,5,5,5,1,19,1,2,1,19,2,,1,1,2,,1,1,2,,2,,1,18,2,,1,19,2,,1,19,1,19,2,,1,1,2,,1,2,2,,2,,1,1,2,,2,,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2
sub008,20,1,3,2,2,1,1,2,1,2,1,4,3,2,3,4,2,,2,,1,15,2,,1,3,1,3,1,3,2,,1,18,2,,2,,2,,2,,2,,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1
Sub009,20,3,2,1,3,3,1,1,2,1,1,4,4,2,2,4,1,1,2,,1,19,1,1,2,,1,19,2,,2,,1,19,2,,2,,1,1,2,,1,1,1,1,1,1,1,19,1,19,2,,2,,1,19,1,19,2,,2,,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1
Sub010,23,2,1,3,2,3,1,1,2,1,1,4,5,3,2,3,1,15,2,,1,14,2,,1,15,2,,1,15,1,14,2,,2,,2,,1,14,2,,1,2,2,,1,15,2,,2,,2,,1,3,2,,2,,2,,2,,1,2,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1
